Cours d'eau, Embouchure, Bassin, Longueur (km)
Lary,Isle,Dordogne,54
Lède,Lot,Garonne,54
Orge,Seine,Seine,54
Rère,Sauldre,Loire,54
Vaige,Sarthe,Loire,54
Voueize,Tardes,Loire,54
Arguenon,Manche,Arguenon,53
Berre,Mer Méditerranée,Berre,53
Brenne,Cisse,Loire,53
Juine,Essonne,Seine,53
Loison,Chiers,Meuse,53
Nesque,Sorgue,Rhône,53
Thur,Ill,Rhin,53
Vère,Aveyron,Garonne,53
Chalaronne,Saône,Rhône,52
Côle,Dronne,Dordogne,52
Estampon,Douze,Adour,52
Ével,Blavet,Blavet,52
Falleron,Océan Atlantique,Falleron,52
Gesse,Save,Garonne,52
Goul,Truyère,Garonne,52
Guil,Durance,Rhône,52
Salleron,Anglin,Loire,52
Soulles,Sienne,Sienne,52
Thouaret,Thouet,Loire,52
Verzée,Oudon,Loire,52
Canne,Aron,Loire,51
Doustre,Dordogne,Dordogne,51
Largue,Ill,Rhin,51
Loue,Isle,Dordogne,51
Lunain,Loing,Seine,51
Orne saosnoise,Sarthe,Loire,51
Rahin,Ognon,Rhône,51
Triouzoune,Dordogne,Dordogne,51
Vallière,Solnan,Rhône,51
Abloux,Anglin,Loire,50
Aix,Loire,Loire,50
Andelot,Allier,Loire,50
Aroffe,Meuse,Meuse,50
Barse,Seine,Seine,50
Coise,Loire,Loire,50
Colmont,Mayenne,Loire,50
Gijou,Agout,Garonne,50
Guiers,Rhône,Rhône,50
Helpe Mineure,Sambre,Meuse,50
Nièvre,Loire,Loire,50
Ognon,Acheneau,Loire,50
Petite Leyre,Eyre,Eyre,50
Semme,Gartempe,Loire,50
Smagne,Lay,Lay,50
Vincou,Gartempe,Loire,50
Vologne,Moselle,Rhin,50
Antenne,Charente,Charente,49
Blaise,Eure,Seine,49
Dranse,Rhône (lac Léman),Rhône,49
Fecht,Ill,Rhin,49
Ille,Vilaine,Vilaine,49
Lidoire,Dordogne,Dordogne,49
Loup,Mer Méditerranée,Loup,49
Saleys,Gave d'Oloron,Adour,49
Sânon,Meurthe,Rhin,49
Suize,Marne,Seine,49
Tescou,Tarn,Garonne,49
Vistre,Mer Méditerranée,Vistre,49
Yerre,Loir,Loire,49
Airin,Yèvre,Loire,48
Aran,Adour,Adour,48
Armance,Armançon,Seine,48
Bahus,Adour,Adour,48
Borne,Loire,Loire,48
Huveaune,Mer Méditerranée,Huveaune,48
