gid;nom_parc;n_parcel;id_zde;id_parc;id_mat;numero;x_pc;y_pc;etat_icpe;etat_mat;en_service;date_prod;date_demol;id_poste;id_au;ht_max;ht_mat;ht_nacelle;diam_rotor;precis_pos;sys_coord;srce_geom;alt_base;PU_NOMINAL;DATE_REAL;POSTSRCE;ETAT_AU;LEG_MAT;TYPE_EOL;NOM_COM;INSEE_COM;FUSION_COM;COMORIGINE;fid;ID_PC;ID_MAP;ID_S3IC;ID_EOL;MANDATAIRE;TYPE_ETAT;PUISSANCE;ALTITUDE_B;ALTITUDE_S;DEPT;EPSG;X;Y;etat_proce;etat_eolie;INSEE;STATUT;idMat;idParc;codeCom;libCom;codeDep;modele;hauteur;sourceGeom;Xlamb93;Ylamb93;gml_id;x_icpe;y_icpe;d_service;e_adm_mat;n_parc;n_commune;obs;xcoord;ycoord;i_mat_anc;i_parc_anc;i_pc_anc;c_mat_diff;n_mat_diff;departemen;communes;geo_point_;layer
8431;Null;44138000ZE0091;Null;44176;PC044_0063.06688_E02;E02;355731;6724972;Null;CO;OUI;2013-12-01;Null;Null;PC044_0063.06688;150;105;Null;90;M;2154;Null;49;2;2013-12-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676765;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Puceul;"(2:47.535263139;-1.57857104954)";eolien_pays_de_la_loire
8432;Null;44121000ZA0034;Null;44182;PC044_0063.06694_E04;E04;378442;6734298;Null;CO;OUI;2015-07-01;Null;Null;PC044_0063.06694;144;98;Null;92;M;2154;Null;74;2.35;2015-07-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676774;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Petit-Auverné;"(2:47.6305426563;-1.28386286427)";eolien_pays_de_la_loire
8433;Null;44054000ZE0042;Null;44183;PC044_0063.06695_E02;E02;377437;6740748;Null;CO;OUI;2006-12-22;Null;Null;PC044_0063.06695;121;86;Null;70;M;2154;Null;102;2.3;2006-12-22;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676776;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Erbray;"(2:47.6880210042;-1.30190205219)";eolien_pays_de_la_loire
8434;Null;44096000ZN0064;Null;44185;PC044_0063.06697_E04;E04;383653;6715124;Null;CO;OUI;2011-02-01;Null;Null;PC044_0063.06697;135;100;Null;70;M;2154;Null;60;2.3;2011-02-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676780;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Mésanger;"(2:47.4607178514;-1.200996085)";eolien_pays_de_la_loire
8435;Null;85121000YA0074;Null;85170;PC085_0063.06677_E09;E09;397354;6602970;Null;CO;OUI;2016-07-25;Null;Null;PC085_0063.06677;90;60;Null;60;M;2154;Null;26;0.8;2016-07-25;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676861;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Vendée;Le Langon;"(2:46.4586532375;-0.945019048938)";eolien_pays_de_la_loire
8436;Null;852980000D1132;Null;85171;PC085_0063.06678_E05;E05;333931;6622177;Null;CO;OUI;2007-06-06;Null;Null;PC085_0063.06678;89;64;Null;50;M;2154;Null;35;0.8;2007-06-06;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676864;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Vendée;Vairé;"(2:46.5997858476;-1.78505520736)";eolien_pays_de_la_loire
8437;Null;530770000E0659;Null;53195;PC053_0063.06734_E05;E05;408453;6770795;Null;CO;OUI;2016-03-10;Null;Null;PC053_0063.06734;120;100;Null;40;M;2154;Null;220;2.3;2016-03-10;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676923;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Mayenne;Cossé-le-Vivien;"(2:47.9725866003;-0.908781404917)";eolien_pays_de_la_loire
8438;Null;53051000ZI0090;Null;53196;PC053_0063.06741_E08;E08;441424;6813030;Null;CO;OUI;2009-05-26;Null;Null;PC053_0063.06741;121;85;Null;72;M;2154;Null;278;2.3;2009-05-26;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676934;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Mayenne;Champéon;"(2:48.3661035512;-0.492374382066)";eolien_pays_de_la_loire
8439;Null;53160183ZP0075;Null;53196;PC053_0063.06741_E06;E06;440749;6815614;Null;CO;OUI;2009-05-26;Null;Null;PC053_0063.06741;121;85;Null;72;M;2154;Null;285;2.3;2009-05-26;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676936;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Mayenne;Montreuil-Poulay;"(2:48.3890594709;-0.503026377321)";eolien_pays_de_la_loire
8440;Null;44061000AB0210;Null;44194;PC044_0063.06715_E01;E01;324289;6698647;Null;CO;OUI;2012-07-01;Null;Null;PC044_0063.06715;176;101;Null;150;M;2154;Null;7;6;2012-07-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676943;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Loire-Atlantique;Frossay;"(2:47.2816093867;-1.97364397538)";eolien_pays_de_la_loire
8441;Null;85262000ZB0074;Null;85160;PC085_0063.06667_E05;E05;360450;6665277;Null;CO;OUI;2010-06-04;Null;Null;PC085_0063.06667;126;80;Null;92;M;2154;Null;32;2;2010-06-04;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676944;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Vendée;Saint-Philbert-de-Bouaine;"(2:47.0011749912;-1.47104307972)";eolien_pays_de_la_loire
8442;Null;852430000A1219;Null;85161;PC085_0063.06668_E04;E04;334509;6624250;Null;CO;OUI;2005-12-01;Null;Null;PC085_0063.06668;100;65;Null;70;M;2154;Null;48;0.85;2005-12-01;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676946;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Vendée;Brem-sur-Mer;"(2:46.6187325734;-1.77915638773)";eolien_pays_de_la_loire
8443;Null;72380000YS0032;Null;72198;PC072_0063.06813_E03;E03;487883;6799000;Null;CO;OUI;2013-11-19;Null;Null;PC072_0063.06813;145;95;Null;100;M;2154;Null;84;2.3;2013-11-19;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676972;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Sarthe;Vivoin;"(2:48.2567795546;0.141356883695)";eolien_pays_de_la_loire
8444;Null;532080000M0097;Null;53202;PC053_0063.07407_E05;E05;460540;6818387;Null;CO;OUI;2009-10-23;Null;Null;PC053_0063.07407;120;79;Null;82;M;2154;Null;295;2;2009-10-23;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676985;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Mayenne;Saint-Cyr-en-Pail;"(2:48.4215814935;-0.237455496081)";eolien_pays_de_la_loire
8445;Null;532080000M0093;Null;53202;PC053_0063.07407_E04;E04;460497;6818642;Null;CO;OUI;2009-10-23;Null;Null;PC053_0063.07407;120;79;Null;82;M;2154;Null;309;2;2009-10-23;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.676986;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Mayenne;Saint-Cyr-en-Pail;"(2:48.4238578034;-0.238177498482)";eolien_pays_de_la_loire
8446;Null;490090000F1060;Null;49204;PC049_0063.07480_E04;E04;461245;6670273;Null;CO;OUI;2009-12-23;Null;Null;PC049_0063.07480;121;80;Null;82;M;2154;Null;68;2;2009-12-23;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;n_mat_eolien_p_r52.677001;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Maine-et-Loire;Antoigné;"(2:47.0898711298;-0.14814144439)";eolien_pays_de_la_loire
